,phenovaluecount,prephenovalue,postphenovalue
2386,12,Slight,Yes
2387,1,none,No
2388,Phenotype,"Third molars ""wishdom teeth""",x
2389,6348,-,x
2390,24,Have all,x
2391,13,All extracted,x
2392,10,I am missing all four of them,x
2393,6,Only developed top wisdom teeth bottom never developed,x
2394,3,I only have one,x
2395,1,Have two of them,x
2396,Phenotype,water taste,x
2397,6343,-,x
2398,52,Yes!,x
2399,9,No,x
2400,1,yes!,x
2401,Phenotype,Anorexia nervosa or ednos,x
2402,6354,-,x
2403,39,Don't have this issue,x
2404,11,Yes,x
2405,1,don't have this issue,x
2406,Phenotype,rs429358,x
2407,6388,-,x
2408,9,Tt,x
2409,3,Ct,x
2410,3,Cc,x
2411,1,TT,x
2412,1,CT,x
2413,Phenotype,immune thrombocytopenia,x
2414,6385,-,x
2415,10,None,x
2416,4,Yes,x
2417,3,No,x
2418,1,none,x
2419,1,this is a rare disease,x
2420,1,This is a rare disease,x
2421,Phenotype,Spondyloarthropathy,x
2422,6383,-,x
2423,19,None,x
2424,2,Diffuse idiopathic skeletal hyperostosis (DISH),x
2425,1,Diffuse idiopathic skeletal hyperostosis (dish),x
2426,Phenotype,Oxycodone/Oxycontin Effectiveness,x
2427,6372,-,x
2428,18,Works well - effectiveness wears off quickly,x
2429,7,Works well - for full dosing interval,x
2430,3,Works Well - Effectiveness wears off quickly,x
2431,1,allergic,x
2432,1,Allergic,x
2433,1,don´t know,x
2434,1,Can take any opiates. I get nausea and vomit for hours.,x
2435,1,Can take any opiates. i get nausea and vomit for hours.,x
2436,Phenotype,parsonage-turner syndrome,x
2437,6389,-,x
2438,10,No,x
2439,4,Not afaik,x
2440,1,unknown,x
2441,1,Unknown,x
2442,Phenotype,Toenail or fingernail fungus,x
2443,6360,-,x
2444,29,Never,x
2445,15,Yes,x
2446,1,No i weaer shower shoes and flip flops my idiot husband showers at gym barefoot he has massive fungus. ,x
2447,Phenotype,Arthritis,x
2448,6374,-,x
2449,12,Osteoarthritis,x
2450,11,None,x
2451,4,Arthritis of the Pubis Sympahsis,x
2452,1,Osteoarthritis and rheumatoid arthritis,x
2453,1,OSTEOARTHRITIS DUE TO OLD SHOULDER INJURY,x
2454,1,Osteoarthritis and Rheumatoid Arthritis,x
2455,1,Osteoarthritis marked in both big toes and both thumbs onset late 50s early 60s. Accelerated in last 5 years (from late 60s).,x
2456,Phenotype,Peanut butter preference,x
2457,6080,-,x
2458,103,Like peanut butter and prefer chunky.,x
2459,98,Like peanut butter and prefer smooth,x
2460,39,Like and have no preference for chunky or creamy,x
2461,30,Like chunky more than creamy,x
2462,19,Do not like peanut butter,x
2463,8,Like creamy peanut butter only.,x
2464,6,Crunchy,x
2465,4,like and have no preference for chunky or creamy,x
2466,3,I like chunky but it dont like my worn out teeth,x
2467,3,Natural,x
2468,2,Only in cookies,x
2469,2,Hate it,x
2470,1,Like peanut butter but never with jelly,x
2471,1,Like chunky no-salt hate smell of others eating it when i'm not,x
2472,1,natural,x
2473,1,only in cookies,x
2474,1,like chunky no-salt hate smell of others eating it when i'm not,x
2475,1,non peanut butter,x
2476,1,Do not like Peanut Butter,x
2477,1,Non peanut butter,x
2478,Phenotype,Eye with Blue Halo ,x
2479,6256,-,x
2480,83,No,x
2481,34,Yes,x
2482,10,Blue- green,x
2483,8,N/a,x
2484,6,Aqua-blue,x
2485,3,Hazel with some blue,x
2486,1,Aqua-Blue,x
2487,1,yes,x
2488,1,no,x
2489,1,nan,x
2490,1,Dark blue eyes with white halo around iris,x
2491,Phenotype,Serotonin transporter,x
2492,6315,-,x
2493,24,No idea,x
2494,12,No call  but high pain tolerance,x
2495,10,No call,x
2496,10,Rs25532 - gg / rs25531 - no call ,x
2497,7,This is a genotype not a phenotype.,x
2498,5,(gg),x
2499,4,I have two long form of 5-httlpr,x
2500,4,Yes,x
2501,3,Aa,x
2502,2,Gg,x
2503,2,Short form of 5-httlpr. lower levels of serotonin slightly less happy benefits from more support,x
2504,1,AA,x
2505,1,(GG),x
2506,1,rs25532 - GG / rs25531 - no call ,x
2507,1,No Call  but high pain tolerance,x
2508,1,no call,x
2509,1,Rs25532 G/G  less sensitive to pain,x
2510,1,Rs25532 g/g  less sensitive to pain,x
2511,Phenotype,Personality Disorder test - top result,x
2512,6273,-,x
2513,24,Depression,x
2514,14,Anxiety,x
2515,14,None,x
2516,13,Adhd,x
2517,10,Prob 3 or more of them,x
2518,9,Multiple anxiety disorders depression chronic insomnia,x
2519,7,Depression add aspergers panic disorder,x
2520,6,Avoidant,x
2521,4,Schizotypal,x
2522,3,Antisocial,x
2523,3,Ocd,x
2524,3,Paranoid +,x
2525,3,Passive aggressive Paranoid ,x
2526,3,Aspergers,x
2527,2,Anxiety ocd bipolar 1 wo psychosis,x
2528,2,Obsessive-Compulsive,x
2529,1,Obsessive-Compulsive+,x
2530,1,Antisocial and cold,x
2531,1,rs53576 AA My dogs & husband love me that's about it.,x
2532,1,OCD ADD ASD,x
2533,1,-Paranoid (I'm not but I am schizoid (2nd result),x
2534,1,depression,x
2535,1,anxiety,x
2536,1,ADHD,x
2537,1,none,x
2538,1,depression add aspergers panic disorder,x
2539,1,Ocd add asd,x
2540,1,Borderline,x
2541,Phenotype,Aphantasia,Aphantasia
2542,6335,-,-
2543,41,No,No
2544,25,Yes,Yes
2545,3,I can visualize no aphantasia,No
2546,1,Aphantasia,Yes
2547,Phenotype,Depression,Depression
2548,6158,-,-
2549,109,Yes,Yes
2550,62,No,No
2551,34,Yes at times,Yes
2552,29,Diagnosed.,Yes
2553,12,Situational depression,U
2554,1,Situational Depression,U
2555,Phenotype,One Warrior Gene/One Non-Warrior Gene ,x
2556,6311,-,x
2557,37,Yes,x
2558,14,No idea,x
2559,11,Warrior all the way,x
2560,8,"Yes but I want to choose ""not a phenotype"" so bad",x
2561,5,3 repeats warrior variant,x
2562,4,No rs909525 (AA) Probably MAOA 4 or 5 repeats: not Warrior Gene,x
2563,2,No rs909525 (aa) probably maoa 4 or 5 repeats: not warrior gene,x
2564,2,Scythian ,x
2565,2,Rs6323 rs909525,x
2566,1,rs4680 A/G,x
2567,1,Mild,x
2568,1,Worrier,x
2569,1,rs6323 rs909525,x
2570,1,"Yes but i want to choose ""not a phenotype"" so bad",x
2571,1,warrior all the way,x
2572,1,3 Repeats Warrior Variant,x
2573,1,No,x
2574,1,Worrier but have also Rs6323 GG,x
2575,Phenotype,Cocaine addiction,x
2576,6312,-,x
2577,63,No,x
2578,18,No never,x
2579,6,No but did enjoy it in the past,x
2580,3,I'm not a coke head or a regular user but i do prefer amphetamines as my drug of choice. ,x
2581,2,no,x
2582,1,i'm not a coke head or a regular user but I do prefer amphetamines as my drug of choice. ,x
2583,Phenotype,"Gray eyes,fair skin, dark blonde, o- blood",x
2584,6307,-,x
2585,20,No,x
2586,14,Brown eyes brown hair tan skin,x
2587,7,Dark blonde. 0-,x
2588,6,Aqua-blue eyes dark blonde hair fair skin yet tans easily o-,x
2589,5,Dark hair brown eyes tan skin,x
2590,3,Light brown hairfair skin blue/gray eyes a+,x
2591,3,Dark brown hair blue eyes o+,x
2592,3,Medium brown hair hazel eyes fair skin o+,x
2593,3,Medium brown hair hazel eyes fair skin a+,x
2594,2,Hazel Eyes med brown hair o-,x
2595,2,Green eyes auburn o+,x
2596,2,Light blonde green eyes a+,x
2597,2,Eyes that change color (blue green and gray) pale translucent skin abo+ blood type ,x
2598,2,Dark brown hair hazel eyes fair skin o+,x
2599,2,fair skin that tans blonde/red hair/ blue-grey eyes A-,x
2600,1,Dark green/blue/gray eyes med to dark brown hair o-,x
2601,1,Medium brown hair hazel eyes fair skin b+,x
2602,1,Dark blonde blue-green eyes fair skin b+,x
2603,1, Deep blue eyes medium blonde hair fair skin but tans easily B+,x
2604,1,Blue eyes Brown hair O+,x
2605,1,Dark blonde blue-green eyes fair skin B+,x
2606,1,Black hair dark brown eyes o+,x
2607,1,Blue eyes brown hair o+,x
2608,1,Medium brown hair blue eyes fair skin a-,x
2609,1,Black hair Dark brown eyes O+,x
2610,1,dark green/blue/gray eyes med to dark brown hair O-,x
2611,1,Eyes that change color (blue green and gray) pale translucent skin ABO+ blood type ,x
2612,1,Medium brown hair hazel eyes fair skin O+,x
2613,1,Light blonde green eyes A+,x
2614,1,Dark blonde fair skin blue/gray eyes a+,x
2615,1,Dark blonde fair skin blue/gray eyes A+,x
2616,1,Medium brown hair hazel eyes fair skin ab+,x
2617,1,Medium brown hair hazel eyes fair skin A+,x
2618,1,Dark Brown hair blue eyes O+,x
2619,1,Aqua-Blue Eyes Dark Blonde Hair Fair Skin yet tans easily O-,x
2620,1,Blue green eyes fair dark blonde B-,x
2621,1,Blue green eyes fair skin black hair O+,x
2622,Phenotype,Craves sugar,Craves sugar
2623,6342,-,-
2624,47,Sugar craving,Yes
2625,14,None,No
2626,1,none,No
2627,1,Dislike sugar,No
2628,Phenotype,Dermatofibroma,x
2629,6364,-,x
2630,30,None,x
2631,7,2,x
2632,3,Unknown i am not a dermatologist.,x
2633,1,Unknown I am not a dermatologist.,x
2634,Phenotype,Essential Tremor,x
2635,6358,-,x
2636,30,No,x
2637,15,Hand,x
2638,2,no,x
2639,Phenotype,low appetite,x
2640,6361,-,x
2641,14,I feel hungry some of the time.,x
2642,11,Love food.,x
2643,10,No.  always hungry.,x
2644,3,sometimes,x
2645,2,Sometimes,x
2646,1,i feel Hungry some of the time.,x
2647,1,No.  Always hungry.,x
2648,1,I feel hungry some of the time only after ect treatment for severe depression (prior to this i had no appetite and never felt hungry),x
2649,1,No,x
2650,Phenotype,PICA - eating non food stuff,x
2651,6355,-,x
2652,39,No,x
2653,4,Yes as a kid i ate paper and soap bubbles.,x
2654,3,Yes was excessive in childhood,x
2655,1,yes as a kid i ate paper and soap bubbles.,x
2656,1,I get PICA in pregnancy,x
2657,1,Yes skin erasers,x
2658,1,yes was excessive in childhood,x
2659,Phenotype,introvert or extrovert,x
2660,6310,-,x
2661,62,Introvert,x
2662,12,Extrovert,x
2663,10,Both,x
2664,10,Ambivert,x
2665,1,ambivert,x
2666,Phenotype,Can you smell cut-grass?,x
2667,5702,-,x
2668,612,Yes,x
2669,55,Yes - grass has extremely intense odor,x
2670,19,Yes i love it.,x
2671,13,Yes and i am allergic to it,x
2672,3,No,x
2673,1,Yes I love it.,x
2674,Phenotype,Cervical dysplasia / cancer,x
2675,6370,-,x
2676,9,Yes cervical dysplasia ,x
2677,5,I had severe dysphasia...they had to cone it out,x
2678,5,No,x
2679,4,N/a,x
2680,3,Im a male dont own one of them,x
2681,2,im a male dont own one of them,x
2682,2,nan,x
2683,2,cervical cancer age 37,x
2684,1,Yes Cervical Dysplasia ,x
2685,1,I had endometrial cancer that was diagnosed by taking scraping of the cervix,x
2686,1,CIN3 aged 29,x
2687,Phenotype,Critical thinking,x
2688,6334,-,x
2689,55,Yep!,x
2690,15,Yes under normal conditions somewhat under pressure,x
2691,1,Critical thinking is an act of defiance,x
2692,Phenotype,CLL,x
2693,6390,-,x
2694,8,I don't have blood cancer,x
2695,2,dont know,x
2696,2,Causcasian,x
2697,1,i don't have blood cancer,x
2698,1,causcasian,x
2699,1,No,x
2700,Phenotype,Carrier,x
2701,6383,-,x
2702,10,Not known,x
2703,3,Not sure what the question is,x
2704,1,not known,x
2705,1,Alpha-1 antitrypsin deficiency (SERPINA1),x
2706,1,not sure what the question is,x
2707,1,Medium-chain acyl-coenzyme A dehydrogenase deficiency,x
2708,1,I don’t like carrying heavy things ,x
2709,1,Low blood sugar in grade school,x
2710,1,Hemochromatosis,x
2711,1,PKU carrier,x
2712,1,I’ve never had strep throat ,x
2713,Phenotype,Medium brown skin,x
2714,6373,-,x
2715,18,White,x
2716,5,No,x
2717,2,Cherokee/irish,x
2718,2,Asian,x
2719,2,mixed sub-Saharan African-European-asian afroeuroasian,x
2720,1,white,x
2721,1,African-American,x
2722,1,Mizrahi Jew,x
2723,Phenotype,Online Alexithymia Questionnaire,x
2724,6390,-,x
2725,5,No,x
2726,2,123,x
2727,2,163,x
2728,1,no,x
2729,1,93,x
2730,1,82,x
2731,1,87,x
2732,1,81,x
2733,1,80,x
2734,Phenotype," Medium blonde, medium tone skims blood type o+",x
2735,6388,-,x
2736,7,Brown hair caucasian o+,x
2737,5,Blonde caucasian ,x
2738,1,brown hair caucasian O+,x
2739,1,red hair fair skin tone rarely tans,x
2740,1,Red hair fair skin tone rarely tans,x
2741,1,green eyes Ukrainian,x
2742,1,No,x
2743,Phenotype,OCD - Obsessive-Compulsive Disorder,OCD - Obsessive-Compulsive Disorder
2744,6343,-,-
2745,33,No,No
2746,13,Yes- medically diagnosed,Yes
2747,8,Yes,Yes
2748,4,Ocd tendencies,Yes
2749,2,Yes- Medically diagnosed,Yes
2750,1,no,No
2751,1,OCD tendencies,Yes
2752,Phenotype,Blood Type: O negative,x
2753,6346,-,x
2754,15,O positive,x
2755,10,A negative,x
2756,9,O negative,x
2757,9,A+,x
2758,4,Yes,x
2759,3,B+,x
2760,3,No,x
2761,2,dont know,x
2762,2,Ashkenazi 6.53%,x
2763,2,AB-,x
2764,Phenotype,Pseudocholinesterase deficiency,x
2765,6391,-,x
2766,8,No,x
2767,3,No and not a carrier rs28933390(gg),x
2768,2,Yes,x
2769,1,No and not a carrier rs28933390(GG),x
2770,Phenotype,Behçet's Syndrome / Disease (Behcet's),x
2771,6390,-,x
2772,13,No,x
2773,2,Yes,x
2774,Phenotype,Father or grandfather died of Prostate Cancer,x
2775,6358,-,x
2776,38,No,x
2777,2,Grandfather died of prostate cancer,x
2778,2,Dad was adopted,x
2779,1,Father had prostate cancer he is alive,x
2780,1,Father and great grand father on fahter's side,x
2781,1,GRANDFATHER DIED OF PROSTATE CANCER,x
2782,1,Paternal grandfather died of it Father survived it,x
2783,1,Paternal grandfather me and brother,x
2784,Phenotype,EBV Epstein Barr Virus history: Infectious mononucleosis history now may be not symptomatic,x
2785,6371,-,x
2786,11,No,x
2787,6,Mono in early 20s lasted several months,x
2788,4,Yes mononucleosis 7 weeks ill with fever and no energy,x
2789,4,Mono as a preteen,x
2790,3,Chronic EBV ,x
2791,1,NO,x
2792,1,Infectious mononucleosis in adolescence with moderate hepatitis fever pain lethargy. Now concerned that it may be affecting me in possible autoimmune manner,x
2793,1,mono at 19,x
2794,1,Mono at 31! I did nothing but work and sleep for several weeks.,x
2795,1,Infectious mononucleosis in adolescence with moderate hepatitis fever pain lethargy. now concerned that it may be affecting me in possible autoimmune manner,x
2796,1,Chronic ebv ,x
2797,Phenotype,MENSA Member,x
2798,6378,-,x
2799,14,No,x
2800,8,Yes,x
2801,3,Not interested-never met a mensa member who was not a creep,x
2802,1,no,x
2803,1,Too dumb ,x
2804,Phenotype,33,x
2805,6385,-,x
2806,12,What?,x
2807,4,33,x
2808,2,what?,x
2809,1,i love this number,x
2810,1,I love this number,x
2811,Phenotype,Rh Factor: A Positive,x
2812,6274,-,x
2813,38,A+,x
2814,34,O+,x
2815,18,A-,x
2816,14,O negative,x
2817,7,Ab+,x
2818,5,No,x
2819,4,B-,x
2820,4,Positive,x
2821,2,Positve,x
2822,2,AB-,x
2823,1,O Negative,x
2824,1,AB+,x
2825,1,Cutis Black black hair,x
2826,Phenotype,Tooth sensitivity,x
2827,6367,-,x
2828,19,Cold,x
2829,7,Sweet,x
2830,6,Sweet cold,x
2831,5,Super cold (ice cube),x
2832,1,cold,x
2833,Phenotype,Woolnerian Tip (Darwin's Tubercle),x
2834,6288,-,x
2835,47,No,x
2836,20,No tips,x
2837,18,Both ears,x
2838,6,Right ear not sure about left,x
2839,6,Left Ear,x
2840,6,Left ear,x
2841,5,False,x
2842,5,Both Ears,x
2843,1,no,x
2844,1,right ear not sure about left,x
2845,1,Right ear,x
2846,1,Mildly on one ear?,x
2847,Phenotype,Clinodactyly,x
2848,6396,-,x
2849,5,No,x
2850,3,Has bent pinky fingers,x
2851,1,no,x
2852,Phenotype,Handedness,Handedness
2853,4922,-,-
2854,937,Right-handed,Right
2855,111,Left-handed,Left
2856,87,right-handed,Right
2857,53,Primarily right-handed but for active more detailed activities (e.g. writing drawing using scissors etc.) less precise slow and less focused movements are done with my left hand (e.g. driving/steering pulling/pushing to open doors etc.),U
2858,49,Ambidexterous write with right hand,U
2859,48,Left-handed for small motor movement writing. right-handed for large motor movement throwing,U
2860,26,Right handed,Right
2861,17,Right-handed but slightly ambidextrous.,U
2862,15,Left-handed dominant right-handed/ambidextrous  for sport.,U
2863,13,left-handed,U
2864,11,"Right hand dominant but ambidextrous and ""goofy-footed"" in sports/larger motor movement",U
2865,11,Ambidexterous,U
2866,10,Right,Right
2867,9,Was born left handed but forced to be right,U
2868,9,Left-handed trained right handed as child,U
2869,8,Right handed. left footed.,U
2870,8,Right hand dominant play multiple musical instrumentsguitar banjo mandolinbaseballswitch hitter fine motor skills ambidextrous,U
2871,7,Right-handed dominant left-handed for eating riding and sport when younger.,U
2872,6,ambidexterous,U
2873,6,Mixed-handed (right for writing / left for other),U
2874,5,Right-handed but ambidexterous in sports music filing cutting etc.,U
2875,5,Left-handed in hockey and dominant left handed clapping everything else right handed,U
2876,3,Ambidexterous write with left hand,U
2877,3,Right-handed - but play cards pay at cash registers left-handed ,U
2878,3,Left-handed but write with right hand,U
2879,2,Right-handed. hit left-handed in baseball & golf,U
2880,2,Right-handed dominant with left for computer mouse,U
2881,2,Left-handed do everything else right handed/footed. ,U
2882,2,Mixed handed,U
2883,2,Right-handed but throw ball overarm with my left,U
2884,2,Cross-dominant favouring right side somewhat more,U
2885,2,right,Right
2886,1,Right handed. Left footed.,U
2887,1,70%,U
2888,1,Left-handed in Hockey and Dominant left handed clapping everything else right handed,U
2889,1,right handed,Right
2890,1,right handed but eat with left hand,U
2891,1,Right handed but eat with left hand,U
2892,1,Right handed but prefer dribbling basketball with left,U
2893,1,Ambidexterous write with Right Hand,U
2894,1,Ambidexterous: More strength in Left (torque: opening jars toothbrush pulling rope). Minutiae/Details with Right (writing threading needle).,U
2895,Phenotype,Atheism,Atheism
2896,6009,-,-
2897,170,Atheist,Yes
2898,38,Agnostic,U
2899,35,Science oriented ,U
2900,30,No,No
2901,24,Christian!,No
2902,13,Atheist...but pagan curious,U
2903,11,Agnostic atheist,U
2904,10,No ,No
2905,8,Atheist but pantheist/gnostic positive,U
2906,7,Spiritual humanist,U
2907,5,science oriented ,U
2908,4,I belive there is a god but i dont know what it looks like or where it is  mother earth is a god in its self,No
2909,4,Pantheist,U
2910,3,Polytheist,U
2911,3,I am a christian and i am science oriented. ,U
2912,3,I believe in our inherent electrochemical energy ,U
2913,3,polytheist,U
2914,3,Agnostic polytheist,U
2915,2,atheist...but pagan curious,U
2916,2,Weakly  believer,U
2917,2,no ,No
2918,2,Spiritual Humanist,U
2919,2,atheist but pantheist/gnostic positive,U
2920,1,pantheist,U
2921,1,Modern Paganism,U
2922,1,Humanist,U
2923,1,Consciousness is self referential belief in perfected consciousness  group consciousness self similarity and reflected wish fulfillment ,U
2924,1,humanist,U
2925,1,Agnostic Polytheist,U
2926,1,I am a christian and I am science oriented. ,U
2927,1,i believe in our inherent electrochemical energy ,U
2928,1,weakly  believer,U
2929,1,ancestor veneration/ indigenous beliefs,U
2930,1,Panentheist theosophist daoist wiccan w/asatru & native am. contributions,U
2931,1,Panentheist Theosophist Daoist WIccan w/Asatru & Native Am. Contributions,U
2932,Phenotype,(Male) Nipple's size,x
2933,6245,-,x
2934,51,Medium,x
2935,51,Small,x
2936,42,N/a,x
2937,8,Big,x
2938,4,nan,x
2939,4,small,x
2940,Phenotype,Ehlers-Danlos,x
2941,6324,-,x
2942,38,None,x
2943,14,Hypermobility type,x
2944,7,Maybe,x
2945,7,Clinically diagnosed hypermobility meet diagnostic criteria for other types,x
2946,6,I suspect so but not yet diagnosed,x
2947,2,"I am a carrier of Ehlers-Danlos gene but do not ""have it"" however I am very flexible",x
2948,1,none,x
2949,1,hypermobility type,x
2950,1,not diagnosed but have several Marfan-like characteristics,x
2951,1,Clinically Diagnosed Hypermobility meet diagnostic criteria for other types,x
2952,1,Not diagnosed but have several marfan-like characteristics,x
2953,1,Carrier,x
2954,1,Yes. It’s an umbrella term for several hybrid phenotypes,x
2955,Phenotype,Enjoy using the Internet,x
2956,5799,-,x
2957,498,Yes,x
2958,67,Addicted,x
2959,31,yes,x
2960,9,Not really it is boring,x
2961,1,No isp cost is too high,x
2962,Phenotype,Heroin addiction,x
2963,6302,-,x
2964,92,No,x
2965,3,Rs9291211 rs12461856,x
2966,2,no,x
2967,2,rs9291211 rs12461856,x
2968,1,yes IV,x
2969,1,no tried opiates but don't care for them at all.,x
2970,1,Can't take any opiates they make me vomit repeatedly,x
2971,1,No tried opiates but don't care for them at all.,x
2972,Phenotype,Raynaud's,Raynaud's
2973,6289,-,-
2974,56,I have symptomes,Yes
2975,24,No,No
2976,19,I have no symptomes,No
2977,11,Diagnosed with raynaud's,Yes
2978,2,Fingers/toes turn white but not after moving to a warmer climate,U
2979,1,Diagnosed with Raynaud's,U
2980,1,Fingers/hands turn blue but not blanched like true Raynaud's,U
2981,1,Fingers/hands turn blue but not blanched like true raynaud's,U
2982,1,Only on bottom of feet on cold surfaces?,U
2983,Phenotype,Diet,x
2984,6369,-,x
2985,19,Omnivore,x
2986,9,Vegetarian,x
2987,4,Omnivore with marked preference for vegetable/fruit,x
2988,1,Vegan / plant-based,x
2989,1,Mainly pescetarisch but very rare meat too!,x
2990,1,Mostly plant based but eat fish periodically.,x
2991,1,Whole foods omnivore,x
2992,Phenotype,Squizophrenia,x
2993,6314,-,x
2994,42,No,x
2995,20,Dont have a clue,x
2996,8,Rs1062613,x
2997,7,Please dont put up stupid questions,x
2998,6,Cc,x
2999,4,Yes,x
3000,2,rs1064395,x
3001,1,no,x
3002,1,please dont put up stupid questions,x
3003,Phenotype,Dietary supplements used,x
3004,6367,-,x
3005,12,Don't use them,x
3006,6,Take all vitamins amino acids and many herbs on daily basis,x
3007,3,D 10000 IUB complex strongMultivitaminfish oil b12 5mg folic acid 5mg(because of my genes download them if You don't believe me),x
3008,3,Vitamin d,x
3009,2,B complex d multiple fish oil coq10 spirulina probiotics,x
3010,2,Iron d multivitamins probiotics,x
3011,2,d multiplefish oil coq10probiotics calcium sam-e5-loxincurcumin,x
3012,2,B complex d zinc soy lecithins 5-htp,x
3013,1,b12,x
3014,1,Iron D multivitamins probiotics,x
3015,1,B complex d multiple fish oil CoQ10 spirulina probiotics,x
3016,1,don't use them,x
3017,1,vitamin D,x
3018,1,Fish oil & multi-vitamin,x
3019,Phenotype,Irritable Bowel Syndrome,Irritable Bowel Syndrome
3020,6125,-,-
3021,124,No,No
3022,38,Yes (mild),Yes
3023,35,Yes (severe),Yes
3024,34,Yes (occasionally under stress),Yes
3025,22,Yes,Yes
3026,12,No issues unless i consume wheat gluten dairy and sugar.,U
3027,10,Constipation and bloating,U
3028,2,No if i cut out all wheat gluten and sugar,U
3029,1,constipation and bloating,U
3030,1,No if I cut out all wheat gluten and sugar,U
3031,1,before 10ft colon resection yes,U
3032,Phenotype,Wake up preference,Wake up preference
3033,5963,-,-
3034,225,Late riser,Late
3035,126,Early riser,Early
3036,40,No preference,U
3037,23,late riser,Late
3038,12,Non-24 / late riser,Late
3039,11,no preference,U
3040,2,Non-24,U
3041,1,non-24,U
3042,1,Non-24 / Late Riser,U
3043,1,Sunrise,Early
3044,Phenotype,5-HTP effectiveness,x
3045,6388,-,x
3046,8,I don't know,x
3047,3,Effective,x
3048,1,i don't know,x
3049,1,none,x
3050,1,not sure but take it daily,x
3051,1,None,x
3052,1,Not sure but take it daily,x
3053,1,Like a sugar pill but a turkey sammich full of tryptophan works wonders as does chicken and fries! Makes sleepy removes MDMA hangover a few pieces of KFC or Popeyes or Safeway rotisserie does the same ,x
3054,Phenotype,Tooth shade range,x
3055,6370,-,x
3056,18,White yellow,x
3057,6,B (reddish yellow),x
3058,2,Don´t know,x
3059,2,thats some stupid shit there,x
3060,2,Thats some stupid shit there,x
3061,1,white yellow,x
3062,1,C (gray),x
3063,1,A2,x
3064,1,A1 ,x
3065,1,don´t know,x
3066,Phenotype,Brazil nut diarrhoea,x
3067,6378,-,x
3068,23,No issues here,x
3069,2,2-3,x
3070,1,no issues here,x
3071,1,None,x
3072,Phenotype,Caffeine dependence,x
3073,6351,-,x
3074,29,Yes,x
3075,22,No,x
3076,1,Non-coffee drinker until mid-30s steady since need the first cup in the morning. headaches and fog without coffee now.,x
3077,1,don´t know,x
3078,1,Don´t know,x
3079,Phenotype,Gambling,x
3080,6331,-,x
3081,56,No,x
3082,6,Casino card and slot machine games,x
3083,4,Slot machines and scratch cards,x
3084,3,Rarely backgammon and bar games with friends,x
3085,3,Enjoy but do not find it addictive,x
3086,1,I enjoy internet poker but play low stakes because with nothing at stake people don't play seriously. Otherwise think gambling is foolish,x
3087,1,I enjoy internet poker but play low stakes because with nothing at stake people don't play seriously. otherwise think gambling is foolish,x
3088,Phenotype,Umami taster?,x
3089,6391,-,x
3090,4,Havent a clue,x
3091,3,I can't detect msg,x
3092,2,havent a clue,x
3093,1,i can't detect MSG,x
3094,1,AT,x
3095,1,At,x
3096,1,rs307377 CC,x
3097,1,Yes,x
3098,Phenotype,lichen planus,x
3099,6389,-,x
3100,14,I don't have it,x
3101,1,i don't have it,x
3102,1,I have it,x
3103,Phenotype,macular degeneration,x
3104,6369,-,x
3105,20,No,x
3106,9,Yes,x
3107,3,Strong genetic predisposition. paternal grandmother had severe bilateral by age 70.,x
3108,1,Strong genetic predisposition. Paternal grandmother had severe bilateral by age 70.,x
3109,1,rs121909207 (GG),x
3110,1,my grandmother went blind with AMD,x
3111,1,sister has Stargardt disease me SNP rs121909207 (gg),x
3112,Phenotype,Bipolar disorder,Bipolar disorder
3113,6353,-,-
3114,31,Don't have it,No
3115,7,Type i,Yes
3116,6,Bipolar ii,Yes
3117,2,Bipolar II,Yes
3118,2,Bipolar affective disorder,Yes
3119,2,No,No
3120,1,don't have it,No
3121,1,Bipolar i,Yes
3122,Phenotype,Gap between front teeth,Gap between front teeth
3123,6321,-,-
3124,60,No gap,No
3125,20,2 mm uncorrected,Yes
3126,4,Corrected,Yes
3127,Phenotype,Easily irritated or frustrated,Easily irritated or frustrated
3128,6343,-,-
3129,37,Easily irritated or frustrated,Yes
3130,17,I think i'm normal,No
3131,3,Very,Yes
3132,2,very,Yes
3133,2,Placid as a sloth,No
3134,1,i think i'm normal,No
3135,Phenotype,MS,x
3136,6385,-,x
3137,11,I don't have ms,x
3138,4,No,x
3139,3,rs6604026,x
3140,1,i don't have MS,x
3141,1,Rs6604026 (CT),x
3142,Phenotype,Premature Gray,x
3143,6355,-,x
3144,20,No,x
3145,5,Yes noticed grey at 17,x
3146,3,Started gray at age 50,x
3147,3,Started gray at 16,x
3148,2,Started graying in early 20s,x
3149,2,First graying at 27. characteristic of mother's father's line.,x
3150,2,started gray at 20 full gray at 45,x
3151,1,yes at 25,x
3152,1,Started Gray at 16,x
3153,1,Started getting gray hairs around 40 now 50 have little gray on head but see chest hair turning gray,x
3154,1,Gray,x
3155,1,started getting gray hairs around 40 now 50 have little gray on head but see chest hair turning gray,x
3156,1,40 years of age,x
3157,1,A few grey hairs at 40 gray and dark mixed at 50 more gray than dark @ 60,x
3158,1,First graying at 27. Characteristic of mother's father's line.,x
3159,1,Grey first noticed at 24,x
3160,1,Noticed the Elvira strip at about 35,x
3161,1,Started gray at 20 full gray at 45,x
3162,1,few grey hairs at 33,x
3163,1,Started gray at 30,x
3164,Phenotype,Thyroid nodules,x
3165,6376,-,x
3166,13,No,x
3167,9,Benign thyroid nodules with dysfunction both hyper- and hypo- suspected hashimoto's disease,x
3168,3,Yes benign,x
3169,1,NO,x
